Cycle,Battery#1,Battery#2,Battery#3,#1_SOH,#2_SOH,#3_SOH
1,1.0753012,1.0799223,1.0706892,0.977546545,0.981747545,0.892497768
2,1.0766124,1.0813154,1.0719005,0.978738545,0.983014,0.893649091
3,1.0772982,1.082234,1.0725095,0.979362,0.983849091,0.894408265
4,1.0781505,1.0827312,1.073174,0.980136818,0.984301091,0.894819174
5,1.078544,1.0830303,1.0735761,0.980494545,0.984573,0.895066364
6,1.0789695,1.0833386,1.0739917,0.980881364,0.984853273,0.895321157
7,1.07938,1.083684,1.0743741,0.981254545,0.985167273,0.895606612
8,1.0795895,1.0837147,1.0744922,0.981445,0.985195182,0.895631984
9,1.0797766,1.0837817,1.0745373,0.981615091,0.985256091,0.895687355
10,1.0800153,1.0839587,1.0747814,0.981832091,0.985417,0.895833636
11,1.0845895,1.0880535,1.5390544,0.985990455,0.989139545,0.899217768
12,1.0823009,1.0858102,1.0738269,0.983909909,0.987100182,0.897363802
13,1.0819396,1.0857648,1.0750562,0.983581455,0.987058909,0.897326281
14,1.0818352,1.0855526,1.0730921,0.983486545,0.986866,0.897150909
15,1.0819743,1.0855418,1.0758405,0.983613,0.986856182,0.897141984
16,1.0820032,1.085543,1.072405,0.983639273,0.986857273,0.897142975
17,1.0819749,1.0856423,1.0761998,0.983613545,0.986947545,0.897225041
18,1.0818729,1.0855848,1.0761871,0.983520818,0.986895273,0.897177521
19,1.0818582,1.0855571,1.0764284,0.983507455,0.986870091,0.897154628
20,1.0818721,1.0855353,1.0765469,0.983520091,0.986850273,0.897136612
21,1.0819227,1.0855669,1.0766536,0.983566091,0.986879,0.897162727
22,1.0819179,1.0855838,1.0766355,0.983561727,0.986894364,0.897176695
23,1.0820436,1.0857264,1.0754509,0.983676,0.987024,0.897294545
24,1.0820177,1.0858061,1.0766494,0.983652455,0.987096455,0.897360414
25,1.0820863,1.0858525,1.076545,0.983714818,0.987138636,0.89739876
26,1.0821023,1.0858128,1.0765674,0.983729364,0.987102545,0.89736595
27,1.0820186,1.0857804,1.0765301,0.983653273,0.987073091,0.897339174
28,1.0819744,1.0857626,1.0764797,0.983613091,0.987056909,0.897324463
29,1.081928,1.0857949,1.0765879,0.983570909,0.987086273,0.897351157
30,1.0819486,1.0858704,1.0766202,0.983589636,0.987154909,0.897413554
31,1.0819107,1.0857939,1.0766256,0.983555182,0.987085364,0.897350331
32,1.081911,1.0858334,1.0766001,0.983555455,0.987121273,0.897382975
33,1.0819156,1.0858121,1.0766319,0.983559636,0.987101909,0.897365372
34,1.0819073,1.085746,1.0766066,0.983552091,0.987041818,0.897310744
35,1.0818235,1.0857704,1.076661,0.983475909,0.987064,0.897330909
36,1.0818033,1.0857365,1.0766382,0.983457545,0.987033182,0.897302893
37,1.081722,1.0857095,1.0766717,0.983383636,0.987008636,0.897280578
38,1.0817708,1.0857694,1.0766507,0.983428,0.987063091,0.897330083
39,1.0817635,1.0857872,1.0767151,0.983421364,0.987079273,0.897344794
40,1.0818429,1.0858465,1.0766989,0.983493545,0.987133182,0.897393802
41,1.0818409,1.0858839,1.0766598,0.983491727,0.987167182,0.897424711
42,1.0818423,1.0858977,1.0766748,0.983493,0.987179727,0.897436115
43,1.081903,1.0859399,1.0768414,0.983548182,0.987218091,0.897470992
44,1.0819272,1.0860239,1.0766555,0.983570182,0.987294455,0.897540414
45,1.0817856,1.0859478,1.0766659,0.983441455,0.987225273,0.897477521
46,1.0818145,1.085932,1.0766661,0.983467727,0.987210909,0.897464463
47,1.0818409,1.0860084,1.0743055,0.983491727,0.987280364,0.897527604
48,1.0818337,1.0858871,1.0768253,0.983485182,0.987170091,0.897427355
49,1.0817146,1.0858485,1.0767562,0.983376909,0.987135,0.897395455
50,1.0816857,1.085833,1.0767081,0.983350636,0.987120909,0.897382645
51,1.0816711,1.0857935,1.076677,0.983337364,0.987085,0.89735
52,1.0816325,1.0857363,1.0767009,0.983302273,0.987033,0.897302727
53,1.0816261,1.0857573,1.076785,0.983296455,0.987052091,0.897320083
54,1.0815685,1.0857081,1.076645,0.983244091,0.987007364,0.897279422
55,1.0815827,1.0857319,1.0766542,0.983257,0.987029,0.897299091
56,1.0815943,1.0858471,1.0753976,0.983267545,0.987133727,0.897394297
57,1.0816603,1.0858817,1.0765858,0.983327545,0.987165182,0.897422893
58,1.0816344,1.0858759,1.0752628,0.983304,0.987159909,0.897418099
59,1.0816207,1.0859101,1.0767044,0.983291545,0.987191,0.897446364
60,1.0816126,1.0858313,1.0769024,0.983284182,0.987119364,0.89738124
61,1.0815406,1.0857759,1.0770562,0.983218727,0.987069,0.897335455
62,1.0814815,1.0857108,1.0770824,0.983165,0.987009818,0.897281653
63,1.0816796,1.085923,1.0769807,0.983345091,0.987202727,0.897457025
64,1.0818805,1.086134,1.0765196,0.983527727,0.987394545,0.897631405
65,1.0819483,1.0862314,1.0765632,0.983589364,0.987483091,0.897711901
66,1.0819383,1.0862148,1.0766724,0.983580273,0.987468,0.897698182
67,1.0814322,1.0856748,1.0765343,0.983120182,0.986977091,0.897251901
68,1.0813652,1.08556,1.0766476,0.983059273,0.986872727,0.897157025
69,1.0812522,1.0855246,1.0766002,0.982956545,0.986840545,0.897127768
70,1.081252,1.0855196,1.0753345,0.982956364,0.986836,0.897123636
71,1.0813366,1.0856328,1.0763972,0.983033273,0.986938909,0.89721719
72,1.0813701,1.0856695,1.07514,0.983063727,0.986972273,0.897247521
73,1.0813349,1.0857404,1.0763736,0.983031727,0.987036727,0.897306115
74,1.0813159,1.0856586,1.0762513,0.983014455,0.986962364,0.897238513
