Cycle,Battery#1,Battery#2,#1_SOH,#2_SOH,,,,
1,1.0753012,1.0799223,0.977546545,0.981747545,,,,
2,1.0766124,1.0813154,0.978738545,0.983014,,,,
3,1.0772982,1.082234,0.979362,0.983849091,,,,
4,1.0781505,1.0827312,0.980136818,0.984301091,,,,
5,1.078544,1.0830303,0.980494545,0.984573,,,,
6,1.0789695,1.0833386,0.980881364,0.984853273,,,,
7,1.07938,1.083684,0.981254545,0.985167273,,,,
8,1.0795895,1.0837147,0.981445,0.985195182,,,,
9,1.0797766,1.0837817,0.981615091,0.985256091,,,,
10,1.0800153,1.0839587,0.981832091,0.985417,,,,
11,1.0845895,1.0880535,0.985990455,0.989139545,,,,
12,1.0823009,1.0858102,0.983909909,0.987100182,,,,
13,1.0819396,1.0857648,0.983581455,0.987058909,,,,
14,1.0818352,1.0855526,0.983486545,0.986866,,,,
15,1.0819743,1.0855418,0.983613,0.986856182,,,,
16,1.0820032,1.085543,0.983639273,0.986857273,,,,
17,1.0819749,1.0856423,0.983613545,0.986947545,,,,
18,1.0818729,1.0855848,0.983520818,0.986895273,,,,
19,1.0818582,1.0855571,0.983507455,0.986870091,,,,
20,1.0818721,1.0855353,0.983520091,0.986850273,,,,
21,1.0819227,1.0855669,0.983566091,0.986879,,,,
22,1.0819179,1.0855838,0.983561727,0.986894364,,,,
23,1.0820436,1.0857264,0.983676,0.987024,,,,
24,1.0820177,1.0858061,0.983652455,0.987096455,,,,
25,1.0820863,1.0858525,0.983714818,0.987138636,,,,
26,1.0821023,1.0858128,0.983729364,0.987102545,,,,
27,1.0820186,1.0857804,0.983653273,0.987073091,,,,
28,1.0819744,1.0857626,0.983613091,0.987056909,,,,
29,1.081928,1.0857949,0.983570909,0.987086273,,,,
30,1.0819486,1.0858704,0.983589636,0.987154909,,,,
31,1.0819107,1.0857939,0.983555182,0.987085364,,,,
32,1.081911,1.0858334,0.983555455,0.987121273,,,,
33,1.0819156,1.0858121,0.983559636,0.987101909,,,,
34,1.0819073,1.085746,0.983552091,0.987041818,,,,
35,1.0818235,1.0857704,0.983475909,0.987064,,,,
36,1.0818033,1.0857365,0.983457545,0.987033182,,,,
37,1.081722,1.0857095,0.983383636,0.987008636,,,,
38,1.0817708,1.0857694,0.983428,0.987063091,,,,
39,1.0817635,1.0857872,0.983421364,0.987079273,,,,
40,1.0818429,1.0858465,0.983493545,0.987133182,,,,
41,1.0818409,1.0858839,0.983491727,0.987167182,,,,
42,1.0818423,1.0858977,0.983493,0.987179727,,,,
43,1.081903,1.0859399,0.983548182,0.987218091,,,,
44,1.0819272,1.0860239,0.983570182,0.987294455,,,,
45,1.0817856,1.0859478,0.983441455,0.987225273,,,,
46,1.0818145,1.085932,0.983467727,0.987210909,,,,
47,1.0818409,1.0860084,0.983491727,0.987280364,,,,
48,1.0818337,1.0858871,0.983485182,0.987170091,,,,
49,1.0817146,1.0858485,0.983376909,0.987135,,,,
50,1.0816857,1.085833,0.983350636,0.987120909,,,,
51,1.0816711,1.0857935,0.983337364,0.987085,,,,
52,1.0816325,1.0857363,0.983302273,0.987033,,,,
53,1.0816261,1.0857573,0.983296455,0.987052091,,,,
54,1.0815685,1.0857081,0.983244091,0.987007364,,,,
55,1.0815827,1.0857319,0.983257,0.987029,,,,
56,1.0815943,1.0858471,0.983267545,0.987133727,,,,
57,1.0816603,1.0858817,0.983327545,0.987165182,,,,
58,1.0816344,1.0858759,0.983304,0.987159909,,,,
59,1.0816207,1.0859101,0.983291545,0.987191,,,,
60,1.0816126,1.0858313,0.983284182,0.987119364,,,,
61,1.0815406,1.0857759,0.983218727,0.987069,,,,
62,1.0814815,1.0857108,0.983165,0.987009818,,,,
63,1.0816796,1.085923,0.983345091,0.987202727,,,,
64,1.0818805,1.086134,0.983527727,0.987394545,,,,
65,1.0819483,1.0862314,0.983589364,0.987483091,,,,
66,1.0819383,1.0862148,0.983580273,0.987468,,,,
67,1.0814322,1.0856748,0.983120182,0.986977091,,,,
68,1.0813652,1.08556,0.983059273,0.986872727,,,,
69,1.0812522,1.0855246,0.982956545,0.986840545,,,,
70,1.081252,1.0855196,0.982956364,0.986836,,,,
71,1.0813366,1.0856328,0.983033273,0.986938909,,,,
72,1.0813701,1.0856695,0.983063727,0.986972273,,,,
73,1.0813349,1.0857404,0.983031727,0.987036727,,,,
74,1.0813159,1.0856586,0.983014455,0.986962364,,,,
75,1.0813411,1.0856991,0.983037364,0.986999182,,,,
76,1.0812777,1.0856384,0.982979727,0.986944,,,,
77,1.0812092,1.0855706,0.982917455,0.986882364,,,,
78,1.0811901,1.0855303,0.982900091,0.986845727,,,,
79,1.0811335,1.0854447,0.982848636,0.986767909,,,,
80,1.0810794,1.0853778,0.982799455,0.986707091,,,,
81,1.0810466,1.0853372,0.982769636,0.986670182,,,,
82,1.0809687,1.085281,0.982698818,0.986619091,,,,
83,1.0809135,1.0851364,0.982648636,0.986487636,,,,
84,1.0809121,1.0851827,0.982647364,0.986529727,,,,
85,1.0808662,1.0851971,0.982605636,0.986542818,,,,
86,1.0808834,1.0852234,0.982621273,0.986566727,,,,
87,1.080853,1.0852056,0.982593636,0.986550545,,,,
88,1.0809195,1.0852865,0.982654091,0.986624091,,,,
89,1.0809104,1.085299,0.982645818,0.986635455,,,,
90,1.0809323,1.0852487,0.982665727,0.986589727,,,,
91,1.0810022,1.0853715,0.982729273,0.986701364,,,,
92,1.0809057,1.0852418,0.982641545,0.986583455,,,,
93,1.0809215,1.0852273,0.982655909,0.986570273,,,,
94,1.0809017,1.0852255,0.982637909,0.986568636,,,,
95,1.0808159,1.08509,0.982559909,0.986445455,,,,
96,1.0807959,1.0851239,0.982541727,0.986476273,,,,
97,1.0806749,1.0850123,0.982431727,0.986374818,,,,
98,1.0806487,1.0849537,0.982407909,0.986321545,,,,
99,1.0806297,1.0849404,0.982390636,0.986309455,,,,
100,1.0806502,1.0849447,0.982409273,0.986313364,,,,
101,1.0806355,1.0849578,0.982395909,0.986325273,,,,
102,1.080663,1.0849718,0.982420909,0.986338,,,,
103,1.0806745,1.084981,0.982431364,0.986346364,,,,
104,1.0807188,1.0851059,0.982471636,0.986459909,,,,
105,1.0806472,1.0849565,0.982406545,0.986324091,,,,
106,1.0805749,1.0849079,0.982340818,0.986279909,,,,
107,1.0805452,1.0848944,0.982313818,0.986267636,,,,
108,1.0805323,1.0848737,0.982302091,0.986248818,,,,
109,1.0804729,1.0847815,0.982248091,0.986165,,,,
110,1.0804,1.0847218,0.982181818,0.986110727,,,,
111,1.0803393,1.084612,0.982126636,0.986010909,,,,
112,1.0803374,1.0845947,0.982124909,0.985995182,,,,
113,1.0803201,1.0845439,0.982109182,0.985949,,,,
114,1.0802414,1.0844989,0.982037636,0.985908091,,,,
115,1.0802473,1.0845442,0.982043,0.985949273,,,,
116,1.080231,1.0845171,0.982028182,0.985924636,,,,
117,1.0801288,1.0844411,0.981935273,0.985855545,,,,
118,1.0801314,1.0844105,0.981937636,0.985827727,,,,
119,1.0803328,1.0845937,0.982120727,0.985994273,,,,
120,1.0803525,1.0846987,0.982138636,0.986089727,,,,
121,1.0803212,1.0846695,0.982110182,0.986063182,,,,
122,1.080315,1.084641,0.982104545,0.986037273,,,,
123,1.0802521,1.0845835,0.982047364,0.985985,,,,
124,1.0801622,1.0844946,0.981965636,0.985904182,,,,
125,1.0802071,1.0844939,0.982006455,0.985903545,,,,
126,1.0801412,1.0845144,0.981946545,0.985922182,,,,
127,1.0800964,1.0844651,0.981905818,0.985877364,,,,
128,1.0801266,1.0844644,0.981933273,0.985876727,,,,
129,1.0801144,1.0844282,0.981922182,0.985843818,,,,
130,1.080099,1.0844687,0.981908182,0.985880636,,,,
131,1.0800577,1.0844334,0.981870636,0.985848545,,,,
132,1.0799779,1.0843452,0.981798091,0.985768364,,,,
133,1.0798699,1.0841988,0.981699909,0.985635273,,,,
134,1.0798607,1.0842357,0.981691545,0.985668818,,,,
135,1.0798086,1.0841705,0.981644182,0.985609545,,,,
136,1.0797741,1.084155,0.981612818,0.985595455,,,,
137,1.0797648,1.0841643,0.981604364,0.985603909,,,,
138,1.0797896,1.0842218,0.981626909,0.985656182,,,,
139,1.0797476,1.0841625,0.981588727,0.985602273,,,,
140,1.0797325,1.0841635,0.981575,0.985603182,,,,
141,1.0796613,1.0841109,0.981510273,0.985555364,,,,
142,1.0795732,1.0840343,0.981430182,0.985485727,,,,
143,1.0795051,1.0839545,0.981368273,0.985413182,,,,
144,1.0794517,1.0838717,0.981319727,0.985337909,,,,
145,1.0794413,1.0839056,0.981310273,0.985368727,,,,
146,1.0794613,1.0839182,0.981328455,0.985380182,,,,
147,1.0795257,1.0839571,0.981387,0.985415545,,,,
148,1.0795374,1.0839593,0.981397636,0.985417545,,,,
149,1.0795468,1.0839598,0.981406182,0.985418,,,,
150,1.0793943,1.0837967,0.981267545,0.985269727,,,,
151,1.0793138,1.0836318,0.981194364,0.985119818,,,,
152,1.0792543,1.0836512,0.981140273,0.985137455,,,,
153,1.0792733,1.083616,0.981157545,0.985105455,,,,
154,1.0792607,1.0836091,0.981146091,0.985099182,,,,
155,1.0792705,1.0835862,0.981155,0.985078364,,,,
156,1.0792338,1.0835845,0.981121636,0.985076818,,,,
157,1.0791656,1.0835835,0.981059636,0.985075909,,,,
158,1.0792696,1.0836748,0.981154182,0.985158909,,,,
159,1.0792631,1.0836439,0.981148273,0.985130818,,,,
160,1.0792441,1.0836015,0.981131,0.985092273,,,,
161,1.0792354,1.0836121,0.981123091,0.985101909,,,,
162,1.0791804,1.0835544,0.981073091,0.985049455,,,,
163,1.0791258,1.0834684,0.981023455,0.984971273,,,,
164,1.0790781,1.0834323,0.980980091,0.984938455,,,,
165,1.0790321,1.0833755,0.980938273,0.984886818,,,,
166,1.0789585,1.0832872,0.980871364,0.984806545,,,,
167,1.0789031,1.0832012,0.980821,0.984728364,,,,
168,1.0788951,1.0832188,0.980813727,0.984744364,,,,
169,1.0788661,1.0832297,0.980787364,0.984754273,,,,
170,1.0789065,1.0832256,0.980824091,0.984750545,,,,
171,1.0790746,1.0834041,0.980976909,0.984912818,,,,
172,1.0790883,1.0834444,0.980989364,0.984949455,,,,
173,1.0790173,1.0833941,0.980924818,0.984903727,,,,
174,1.0788677,1.0832394,0.980788818,0.984763091,,,,
175,1.0787734,1.0831283,0.980703091,0.984662091,,,,
176,1.0787362,1.083111,0.980669273,0.984646364,,,,
177,1.0786883,1.0830775,0.980625727,0.984615909,,,,
178,1.0788336,1.0831956,0.980757818,0.984723273,,,,
179,1.0789466,1.0833586,0.980860545,0.984871455,,,,
180,1.0790043,1.0833983,0.980913,0.984907545,,,,
181,1.0789996,1.0833951,0.980908727,0.984904636,,,,
182,1.0789684,1.0833685,0.980880364,0.984880455,,,,
183,1.0788578,1.0832517,0.980779818,0.984774273,,,,
184,1.0787761,1.0831751,0.980705545,0.984704636,,,,
185,1.0785502,1.082966,0.980500182,0.984514545,,,,
186,1.0785975,1.0830148,0.980543182,0.984558909,,,,
187,1.0786096,1.0830317,0.980554182,0.984574273,,,,
188,1.0785203,1.0829775,0.980473,0.984525,,,,
189,1.0784601,1.0829014,0.980418273,0.984455818,,,,
190,1.0784056,1.0828805,0.980368727,0.984436818,,,,
191,1.0783468,1.0828025,0.980315273,0.984365909,,,,
192,1.0783235,1.0827243,0.980294091,0.984294818,,,,
193,1.0782559,1.0826709,0.980232636,0.984246273,,,,
194,1.0781775,1.082625,0.980161364,0.984204545,,,,
195,1.0782001,1.0826198,0.980181909,0.984199818,,,,
196,1.0782014,1.0826597,0.980183091,0.984236091,,,,
197,1.0781834,1.0827546,0.980166727,0.984322364,,,,
198,1.0784652,1.082886,0.980422909,0.984441818,,,,
199,1.0784538,1.082866,0.980412545,0.984423636,,,,
200,1.0783129,1.0827211,0.980284455,0.984291909,,,,
201,1.0781006,1.0825498,0.980091455,0.984136182,,,,
202,1.0780586,1.0824825,0.980053273,0.984075,,,,
203,1.0779577,1.0823528,0.979961545,0.983957091,,,,
204,1.0781268,1.0825661,0.980115273,0.984151,,,,
205,1.0783508,1.0827576,0.980318909,0.984325091,,,,
206,1.0784787,1.0828853,0.980435182,0.984441182,,,,
207,1.0785102,1.0829602,0.980463818,0.984509273,,,,
208,1.0785191,1.0829967,0.980471909,0.984542455,,,,
209,1.078465,1.0829171,0.980422727,0.984470091,,,,
210,1.0783726,1.0828224,0.980338727,0.984384,,,,
211,1.078195,1.0825667,0.980177273,0.984151545,,,,
212,1.077841,1.0822521,0.979855455,0.983865545,,,,
213,1.0777873,1.0822057,0.979806636,0.983823364,,,,
214,1.0777465,1.0821924,0.979769545,0.983811273,,,,
215,1.0776659,1.0821195,0.979696273,0.983745,,,,
216,1.077572,1.0820826,0.979610909,0.983711455,,,,
217,1.0775523,1.082072,0.979593,0.983701818,,,,
218,1.0775352,1.0820191,0.979577455,0.983653727,,,,
219,1.077489,1.0819827,0.979535455,0.983620636,,,,
220,1.0774752,1.0819182,0.979522909,0.983562,,,,
221,1.0774668,1.0819069,0.979515273,0.983551727,,,,
222,1.0775013,1.0819478,0.979546636,0.983588909,,,,
223,1.0775459,1.0819904,0.979587182,0.983627636,,,,
224,1.077698,1.0821501,0.979725455,0.983772818,,,,
225,1.0777867,1.0822335,0.979806091,0.983848636,,,,
226,1.0776162,1.0820882,0.979651091,0.983716545,,,,
227,1.0774209,1.0819136,0.979473545,0.983557818,,,,
228,1.0772518,1.081772,0.979319818,0.983429091,,,,
229,1.0771765,1.0817499,0.979251364,0.983409,,,,
230,1.0771741,1.0817292,0.979249182,0.983390182,,,,
231,1.0772705,1.0818614,0.979336818,0.983510364,,,,
232,1.0773777,1.081985,0.979434273,0.983622727,,,,
233,1.0774446,1.0820019,0.979495091,0.983638091,,,,
234,1.0774491,1.0819705,0.979499182,0.983609545,,,,
235,1.0774158,1.0819284,0.979468909,0.983571273,,,,
236,1.0773504,1.0818729,0.979409455,0.983520818,,,,
237,1.0772904,1.0817831,0.979354909,0.983439182,,,,
238,1.0770903,1.0815554,0.979173,0.983232182,,,,
239,1.0770547,1.081557,0.979140636,0.983233636,,,,
240,1.0770125,1.0815039,0.979102273,0.983185364,,,,
241,1.0769674,1.0814655,0.979061273,0.983150455,,,,
242,1.0768939,1.0814321,0.978994455,0.983120091,,,,
243,1.0768212,1.0813533,0.978928364,0.983048455,,,,
244,1.0767306,1.0812635,0.978846,0.982966818,,,,
245,1.0766762,1.0811942,0.978796545,0.982903818,,,,
246,1.0766544,1.0811816,0.978776727,0.982892364,,,,
247,1.0766096,1.0811607,0.978736,0.982873364,,,,
248,1.0766743,1.0811775,0.978794818,0.982888636,,,,
249,1.0766734,1.0812087,0.978794,0.982917,,,,
250,1.0767171,1.0812902,0.978833727,0.982991091,,,,
251,1.0768607,1.081394,0.978964273,0.983085455,,,,
252,1.0767988,1.0813817,0.978908,0.983074273,,,,
253,1.0766858,1.081237,0.978805273,0.982942727,,,,
254,1.076441,1.0810921,0.978582727,0.982811,,,,
255,1.0764432,1.0810554,0.978584727,0.982777636,,,,
256,1.0763679,1.0809911,0.978516273,0.982719182,,,,
257,1.0763994,1.0810324,0.978544909,0.982756727,,,,
258,1.0765815,1.0811806,0.978710455,0.982891455,,,,
259,1.0766946,1.0812634,0.978813273,0.982966727,,,,
260,1.0766741,1.081328,0.978794636,0.983025455,,,,
261,1.0766497,1.0812821,0.978772455,0.982983727,,,,
262,1.0765942,1.0812389,0.978722,0.982944455,,,,
263,1.076591,1.0811999,0.978719091,0.982909,,,,
264,1.0764062,1.0810305,0.978551091,0.982755,,,,
265,1.0761794,1.0808043,0.978344909,0.982549364,,,,
266,1.0762528,1.0808034,0.978411636,0.982548545,,,,
267,1.0761791,1.0807306,0.978344636,0.982482364,,,,
268,1.0761017,1.0806446,0.978274273,0.982404182,,,,
269,1.0760368,1.0806009,0.978215273,0.982364455,,,,
270,1.07595,1.0805367,0.978136364,0.982306091,,,,
271,1.0759057,1.0804774,0.978096091,0.982252182,,,,
272,1.0758588,1.0804427,0.978053455,0.982220636,,,,
273,1.0757933,1.0803565,0.977993909,0.982142273,,,,
274,1.0757918,1.0803546,0.977992545,0.982140545,,,,
275,1.0757444,1.0802795,0.977949455,0.982072273,,,,
276,1.0757467,1.0803242,0.977951545,0.982112909,,,,
277,1.0758823,1.0804303,0.978074818,0.982209364,,,,
278,1.075914,1.0804815,0.978103636,0.982255909,,,,
279,1.0758315,1.0803753,0.978028636,0.982159364,,,,
280,1.0757306,1.0803001,0.977936909,0.982091,,,,
281,1.075725,1.080274,0.977931818,0.982067273,,,,
282,1.0756117,1.0801617,0.977828818,0.981965182,,,,
283,1.0755854,1.0801622,0.977804909,0.981965636,,,,
284,1.07567,1.0802788,0.977881818,0.982071636,,,,
285,1.0757643,1.0803787,0.977967545,0.982162455,,,,
286,1.0759091,1.0804796,0.978099182,0.982254182,,,,
287,1.0759318,1.0804931,0.978119818,0.982266455,,,,
288,1.0759945,1.0804921,0.978176818,0.982265545,,,,
289,1.0759889,1.0804945,0.978171727,0.982267727,,,,
290,1.0760155,1.0804992,0.978195909,0.982272,,,,
291,1.0757146,1.0802017,0.977922364,0.982001545,,,,
292,1.0754582,1.0799431,0.977689273,0.981766455,,,,
293,1.0755191,1.0800202,0.977744636,0.981836545,,,,
294,1.0754433,1.0799611,0.977675727,0.981782818,,,,
295,1.0753623,1.0798849,0.977602091,0.981713545,,,,
296,1.0753679,1.0798502,0.977607182,0.981682,,,,
297,1.0752826,1.0797974,0.977529636,0.981634,,,,
298,1.0752267,1.0797426,0.977478818,0.981584182,,,,
299,1.0751759,1.0797074,0.977432636,0.981552182,,,,
300,1.0750923,1.0796536,0.977356636,0.981503273,,,,
301,1.0750625,1.0796152,0.977329545,0.981468364,,,,
302,1.0750893,1.0795829,0.977353909,0.981439,,,,
303,1.0750437,1.0795734,0.977312455,0.981430364,,,,
304,1.07503,1.0795425,0.9773,0.981402273,,,,
305,1.0749415,1.0795106,0.977219545,0.981373273,,,,
306,1.07499,1.0796015,0.977263636,0.981455909,,,,
307,1.07499,1.0795869,0.977263636,0.981442636,,,,
308,1.0750219,1.0796043,0.977292636,0.981458455,,,,
309,1.0747842,1.0794106,0.977076545,0.981282364,,,,
310,1.0747573,1.0793735,0.977052091,0.981248636,,,,
311,1.0748076,1.0793947,0.977097818,0.981267909,,,,
312,1.074843,1.0794339,0.97713,0.981303545,,,,
313,1.0748973,1.0794876,0.977179364,0.981352364,,,,
314,1.0749114,1.0794756,0.977192182,0.981341455,,,,
315,1.0748553,1.0794482,0.977141182,0.981316545,,,,
316,1.0748824,1.0794613,0.977165818,0.981328455,,,,
317,1.0747553,1.0793372,0.977050273,0.981215636,,,,
318,1.074572,1.0791411,0.976883636,0.981037364,,,,
319,1.0745397,1.0791093,0.976854273,0.981008455,,,,
320,1.0744972,1.0790737,0.976815636,0.980976091,,,,
321,1.0744377,1.0790309,0.976761545,0.980937182,,,,
322,1.0744097,1.0790122,0.976736091,0.980920182,,,,
323,1.0743706,1.0789998,0.976700545,0.980908909,,,,
324,1.0743712,1.0789577,0.976701091,0.980870636,,,,
325,1.0743155,1.0789431,0.976650455,0.980857364,,,,
