Cycle,#4_SOH,#5_SOH
1,0.968829818,0.971638
2,0.969927091,0.972316818
3,0.970623273,0.972831182
4,0.971034455,0.973110727
5,0.971445727,0.973289364
6,0.971583818,0.973556
7,0.971639727,0.973777273
8,0.971822818,0.973647909
9,0.971904818,0.973814818
10,0.971929091,0.973937091
11,0.971961636,0.973849364
12,0.971951727,0.973923455
13,0.971997727,0.973985636
14,0.972162182,0.974077091
15,0.972225273,0.974272909
16,0.972298182,0.974240455
17,0.972398818,0.974225
18,0.972490273,0.974328818
19,0.972469,0.974243091
20,0.972429909,0.974228455
21,0.972527818,0.974135182
22,0.972501727,0.974163364
23,0.972513091,0.974285818
24,0.972524545,0.974278636
25,0.972515545,0.974196909
26,0.972534455,0.974531909
27,0.972557,0.973351
28,0.97262,0.973538091
29,0.972670727,0.974555
30,0.972670273,0.974556273
31,0.972715727,0.974495
32,0.972716818,0.974638182
33,0.972660818,0.974569545
34,0.972646,0.974513091
35,0.972631,0.974487455
36,0.972633273,0.974352182
37,0.972574818,0.973276545
38,0.972553364,0.973338727
39,0.972600636,0.974524
40,0.972629636,0.974510818
41,0.972575636,0.974394091
42,0.972528,0.974474273
43,0.972607545,0.974344455
44,0.972653182,0.974344909
45,0.972684727,0.974526091
46,0.972659273,0.974218636
47,0.972624182,0.974423364
48,0.972616091,0.974580727
49,0.972689364,0.974594
50,0.972659455,0.974677
51,0.972698364,0.974545909
52,0.972701,0.974516727
53,0.972604727,0.974494727
54,0.972665727,0.973357091
55,0.972584455,0.974507636
56,0.972556273,0.974487909
57,0.972486273,0.974346091
58,0.972503273,0.974296091
59,0.972456909,0.974350091
60,0.972492909,0.974338091
61,0.972457182,0.974341091
62,0.972417727,0.974345727
63,0.972398455,0.974364091
64,0.972423364,0.974285909
65,0.972365727,0.974258273
66,0.972291909,0.974094364
67,0.972306545,0.974262
68,0.972283818,0.974081182
69,0.972341909,0.973968182
70,0.972294909,0.974033182
71,0.972349545,0.973956818
72,0.972326364,0.974055545
73,0.972451273,0.974028545
74,0.972299455,0.973878545
75,0.972313545,0.974017273
76,0.972342909,0.973832273
77,0.972423455,0.973792
78,0.972356,0.973986091
79,0.972251091,0.9739
80,0.972297364,0.974008818
81,0.972193091,0.973956
82,0.972208,0.973941636
83,0.972332727,0.974047
84,0.972285818,0.973981636
85,0.972279636,0.974074727
86,0.972269545,0.974082818
87,0.972121091,0.974054545
88,0.972155,0.973958
89,0.972082727,0.973877
90,0.972096636,0.973879545
91,0.971994636,0.973721636
92,0.972064091,0.973740909
93,0.971983273,0.973735
94,0.971965273,0.973622818
95,0.971941818,0.973622273
96,0.971981091,0.973733455
97,0.971934182,0.973647545
98,0.971978273,0.973667545
99,0.971846455,0.973572
100,0.971786,0.973750091
101,0.971845818,0.973598091
102,0.971746909,0.973598636
103,0.971830727,0.973582182
104,0.971806091,0.973546545
105,0.971913727,0.973542727
106,0.971965909,0.973336364
107,0.971955727,0.973401727
108,0.971960182,0.973607909
109,0.972033091,0.973615636
110,0.971983091,0.973381636
111,0.972014909,0.973605455
112,0.972078818,0.973714455
113,0.972025273,0.973831545
114,0.972033636,0.973621455
115,0.971830455,0.973725727
116,0.972089909,0.973842
117,0.971805727,0.973662818
118,0.971704636,0.973703818
119,0.971716182,0.973697727
120,0.971714364,0.973640909
121,0.971725182,0.973529909
122,0.971721455,0.973557909
123,0.971680455,0.973481727
124,0.971637727,0.973362455
125,0.971572182,0.973382818
126,0.971461455,0.973160273
127,0.971442091,0.973227545
128,0.971382273,0.973244818
129,0.971297455,0.973126636
130,0.971307818,0.973190273
131,0.971231364,0.973179545
132,0.971165818,0.973169273
133,0.971173455,0.97311
134,0.971145182,0.973076909
135,0.971061091,0.973120818
136,0.971154818,0.973076091
137,0.971218,0.973014545
138,0.971197364,0.972984364
139,0.971300091,0.972985545
140,0.971301273,0.972950545
141,0.971259636,0.973088
142,0.971136273,0.971974818
143,0.971170636,0.973110727
144,0.971193,0.973153182
145,0.971190364,0.973163545
146,0.971080182,0.973178909
147,0.971066091,0.973039545
148,0.971073545,0.973198273
149,0.971014727,0.973049909
150,0.970999545,0.973127364
151,0.970986545,0.973021545
152,0.970921091,0.972977909
153,0.970921818,0.972876909
154,0.970835273,0.972924364
155,0.970853545,0.972935182
156,0.970863,0.972889636
157,0.970715545,0.972869273
