Cell,Cycle,Tem,Voltage-mean,Voltage,Current,Capacity
NCA Cell 8,1,45,3.366811101038062,2.6499863,-3500.2046056978443,3339.3940430192088
NCA Cell 8,2,45,3.3674504397923877,2.6499469,-3500.267579216428,3337.249973022868
NCA Cell 8,3,45,3.3676703647058823,2.6499074,-3500.336403702917,3334.700685390218
NCA Cell 8,4,45,3.367907746366782,2.6499863,-3500.262617744933,3332.395841186387
NCA Cell 8,5,45,3.3683533256055362,2.6499469,-3500.3252049022194,3329.736041221112
NCA Cell 8,6,45,3.367644483737024,2.6499863,-3500.221319690837,3325.245606946345
NCA Cell 8,7,45,3.3675313847750865,2.6500649,-3500.206256391496,3322.465933612873
NCA Cell 8,8,45,3.367026792733564,2.649868,-3500.3734224492982,3318.712553260365
NCA Cell 8,9,45,3.367670648096886,2.6500649,-3500.396307279446,3315.325035008409
NCA Cell 8,10,45,3.367176823875433,2.6499863,-3500.481436197249,3311.7787174479163
NCA Cell 8,11,45,3.3675142124567476,2.6499863,-3500.2723429557377,3308.379075870771
NCA Cell 8,12,45,3.3672145775086504,2.6499863,-3500.178234272898,3304.648498437365
NCA Cell 8,13,45,3.3667071252595155,2.6499469,-3500.206783330561,3301.0952722321226
NCA Cell 8,14,45,3.3666915903114183,2.6499863,-3500.261904852513,3297.341484784748
NCA Cell 8,15,45,3.367087162975779,2.6500649,-3500.429270311726,3294.602067741836
NCA Cell 8,16,45,3.368674505208333,2.6499469,-3500.472303477401,3289.823329940048
NCA Cell 8,17,45,3.3663942588235294,2.6499469,-3500.292003658467,3285.663103408335
NCA Cell 8,18,45,3.3682303781250003,2.6499469,-3500.1942628740003,3282.026396339249
NCA Cell 8,19,45,3.3680055881944444,2.6500256,-3500.235060750866,3278.089827530517
NCA Cell 8,20,45,3.3674135239583336,2.6500649,-3500.200952270852,3273.512225472415
NCA Cell 8,21,45,3.3675205909722226,2.6499469,-3500.315347541648,3269.241432651235
NCA Cell 8,22,45,3.367310557291667,2.6499469,-3500.4915080131423,3264.8302069002257
NCA Cell 8,23,45,3.367328611458333,2.6499863,-3500.27720425606,3259.5160021401643
NCA Cell 8,24,45,3.366605550347222,2.6500649,-3500.133867779013,3254.278346111385
NCA Cell 8,25,45,3.366718094097222,2.6499074,-3500.248752086149,3249.520513861216
NCA Cell 8,27,45,3.365234634375,2.6500256,-3500.317945392164,3240.212559607207
NCA Cell 8,28,45,3.365634045138889,2.6501439,-3500.4668366155,3234.8574337400983
NCA Cell 8,29,45,3.364654728125,2.6500256,-3500.331801911484,3229.025231966824
NCA Cell 8,30,45,3.3649353211805555,2.6499863,-3500.458483327849,3223.729725950111
NCA Cell 8,31,45,3.363977613888889,2.6499863,-3500.5769703661986,3217.874673472088
NCA Cell 8,32,45,3.366341083623693,2.6499863,-3500.4849243978224,3212.622232820639
NCA Cell 8,33,45,3.365740228919861,2.649868,-3500.534699929411,3207.1441580912237
NCA Cell 8,34,45,3.3657920885017423,2.6499469,-3500.4763732494253,3201.704504480389
NCA Cell 8,35,45,3.365411477003484,2.6499469,-3500.5167742909853,3196.437830528562
NCA Cell 8,36,45,3.3643213177700346,2.6499074,-3500.486622210251,3191.2782506877943
NCA Cell 8,37,45,3.364191506271777,2.6499469,-3500.431800354717,3186.205806131322
NCA Cell 8,38,45,3.3642409101045296,2.6500256,-3500.5295461013347,3181.753057317978
NCA Cell 8,39,45,3.363406656445993,2.6499469,-3500.560240856465,3177.008870130211
NCA Cell 8,40,45,3.363556217421603,2.6499074,-3500.50659230662,3172.1485991107866
NCA Cell 8,41,45,3.363209753658537,2.6499469,-3500.503284735464,3167.2670508269566
NCA Cell 8,42,45,3.3627195003484323,2.6499863,-3500.516190850899,3163.198680199787
NCA Cell 8,43,45,3.3623324216027877,2.6499074,-3500.545880628571,3158.77871460924
NCA Cell 8,44,45,3.3627488533101046,2.6499074,-3500.7048373519624,3154.127078053382
NCA Cell 8,45,45,3.3618037355400694,2.6499074,-3500.736452760067,3150.2846277429185
