Cell,Cycle,Tem,Voltage-mean,Voltage,Current,Capacity
NCM Cell11,1,45,3.277856434504792,2.4999197,-3499.035159891705,3300.694963139377
NCM Cell11,2,45,3.277424022044728,2.499959,-3498.85430722079,3295.736199531249
NCM Cell11,3,45,3.2777400642172525,2.4998803,-3498.9365618477755,3290.394975925836
NCM Cell11,4,45,3.2771167936102232,2.4998407000000005,-3498.644931035641,3285.685093344997
NCM Cell11,5,45,3.2788861217948724,2.499959,-3498.910199879298,3280.348562513695
NCM Cell11,6,45,3.2789069423076924,2.4999197,-3499.011316103924,3275.643134331728
NCM Cell11,7,45,3.278643788461539,2.499959,-3499.01949649274,3271.057229448919
NCM Cell11,8,45,3.278319417307692,2.4999983,-3498.982957471787,3266.1884120901145
NCM Cell11,9,45,3.2775996163461536,2.499959,-3498.578680812601,3261.174272160781
NCM Cell11,10,45,3.277551531730769,2.4998407000000005,-3498.618394520298,3256.534669973415
NCM Cell11,11,45,3.2773126089743587,2.4998803,-3498.843089345976,3252.412157893067
NCM Cell11,12,45,3.2771004448717953,2.499959,-3498.875108050029,3248.232934004584
NCM Cell11,13,45,3.2766112349358973,2.4999197,-3498.796040097517,3244.0072295296227
NCM Cell11,14,45,3.276140712179487,2.4999197,-3498.943258802592,3240.260034128418
NCM Cell11,15,45,3.2758438560897436,2.4998407000000005,-3498.4727328525537,3236.1039541863342
NCM Cell11,16,45,3.2754920990384617,2.499959,-3498.240487451316,3231.916108927272
NCM Cell11,17,45,3.2771299508038583,2.4999983,-3498.755623548115,3228.476224910888
NCM Cell11,18,45,3.2751417307692305,2.4998407000000005,-3498.8030198584697,3224.86407702813
NCM Cell11,19,45,3.2758182342948716,2.4999197,-3498.786633599189,3221.584388930935
NCM Cell11,20,45,3.275617935576923,2.4999197,-3498.864702973233,3217.972842954915
NCM Cell11,21,45,3.275201431730769,2.4999197,-3498.747152566712,3214.165287205809
NCM Cell11,22,45,3.2756137641025638,2.4998803,-3498.732611369112,3210.771546946618
NCM Cell11,23,45,3.2763313562700964,2.4998803,-3498.693373443596,3207.747855203045
NCM Cell11,24,45,3.276617019614148,2.499959,-3498.7053315728112,3204.5050221008287
NCM Cell11,25,45,3.2760020237942125,2.5000377,-3498.700847491061,3201.416305115968
NCM Cell11,26,45,3.2761894160771705,2.4998407000000005,-3498.715981381991,3198.332006215956
NCM Cell11,27,45,3.2764139163987136,2.4998803,-3498.5125903542494,3195.250586149359
NCM Cell11,28,45,3.276311358199357,2.4999983,-3498.777791677153,3192.372453489046
NCM Cell11,29,45,3.276106233118971,2.4999197,-3498.933801636026,3189.733804630532
NCM Cell11,30,45,3.2755254247588423,2.4998803,-3498.9186900780187,3186.7823014047585
NCM Cell11,31,45,3.276592835048232,2.499959,-3498.913447842617,3184.023210666639
